"LID","VAgrA.Presence","VAgrP.Presence","VAgrPOSS.Presence"
205,TRUE,TRUE,FALSE
206,TRUE,FALSE,FALSE
208,TRUE,TRUE,FALSE
210,TRUE,TRUE,
212,TRUE,TRUE,
221,TRUE,,
299,TRUE,TRUE,
318,TRUE,TRUE,
324,TRUE,FALSE,FALSE
325,TRUE,TRUE,
326,TRUE,FALSE,FALSE
329,TRUE,TRUE,
332,TRUE,TRUE,
340,TRUE,FALSE,FALSE
343,TRUE,TRUE,
348,TRUE,TRUE,FALSE
352,TRUE,TRUE,FALSE
354,TRUE,TRUE,FALSE
355,TRUE,FALSE,FALSE
356,TRUE,TRUE,FALSE
357,TRUE,TRUE,
361,TRUE,TRUE,
365,TRUE,,
367,TRUE,TRUE,
370,TRUE,TRUE,
375,TRUE,,
378,TRUE,TRUE,FALSE
382,TRUE,TRUE,
383,,TRUE,
384,TRUE,TRUE,
386,TRUE,TRUE,
387,TRUE,FALSE,FALSE
388,TRUE,TRUE,
389,TRUE,,
390,TRUE,TRUE,
392,TRUE,TRUE,FALSE
393,TRUE,TRUE,
395,TRUE,TRUE,
399,TRUE,FALSE,FALSE
400,TRUE,TRUE,
401,TRUE,TRUE,
402,TRUE,TRUE,
404,TRUE,TRUE,FALSE
406,TRUE,TRUE,FALSE
408,TRUE,TRUE,
409,TRUE,,
411,TRUE,TRUE,FALSE
412,TRUE,TRUE,
413,,TRUE,
414,TRUE,TRUE,
420,TRUE,TRUE,FALSE
421,FALSE,TRUE,FALSE
423,TRUE,,
426,TRUE,TRUE,FALSE
428,TRUE,TRUE,
429,TRUE,TRUE,
433,FALSE,TRUE,FALSE
435,TRUE,,
438,TRUE,FALSE,FALSE
454,TRUE,TRUE,FALSE
456,TRUE,TRUE,FALSE
458,TRUE,TRUE,TRUE
459,TRUE,,
460,TRUE,TRUE,FALSE
461,TRUE,TRUE,FALSE
464,TRUE,TRUE,FALSE
465,TRUE,TRUE,FALSE
466,TRUE,FALSE,FALSE
469,TRUE,TRUE,
481,TRUE,TRUE,FALSE
491,TRUE,,
492,TRUE,TRUE,
493,TRUE,,
495,TRUE,,
498,TRUE,TRUE,FALSE
499,TRUE,TRUE,
502,TRUE,FALSE,FALSE
503,TRUE,,
505,TRUE,TRUE,
511,TRUE,TRUE,
512,TRUE,TRUE,FALSE
514,TRUE,TRUE,
515,TRUE,TRUE,FALSE
518,TRUE,,
525,TRUE,TRUE,
527,TRUE,FALSE,FALSE
530,,TRUE,
533,TRUE,,
534,TRUE,,
535,TRUE,,
540,TRUE,,
545,TRUE,,
549,TRUE,FALSE,FALSE
550,TRUE,TRUE,
551,TRUE,TRUE,FALSE
553,TRUE,TRUE,
558,TRUE,TRUE,
564,,TRUE,
566,TRUE,TRUE,
567,TRUE,,
569,TRUE,TRUE,FALSE
571,TRUE,TRUE,FALSE
576,TRUE,TRUE,FALSE
577,TRUE,TRUE,TRUE
581,TRUE,TRUE,FALSE
582,TRUE,TRUE,
583,TRUE,TRUE,
608,TRUE,,
612,TRUE,TRUE,
619,TRUE,TRUE,
620,TRUE,,
632,TRUE,TRUE,FALSE
633,TRUE,TRUE,FALSE
634,TRUE,,
635,TRUE,TRUE,TRUE
641,TRUE,FALSE,FALSE
642,TRUE,TRUE,
644,TRUE,,
645,TRUE,,
646,TRUE,,
648,TRUE,TRUE,
654,TRUE,TRUE,
655,TRUE,TRUE,
656,TRUE,,
658,TRUE,TRUE,FALSE
668,TRUE,TRUE,FALSE
669,TRUE,TRUE,
674,TRUE,TRUE,
675,TRUE,TRUE,FALSE
678,TRUE,TRUE,FALSE
679,TRUE,,
680,TRUE,TRUE,
681,TRUE,TRUE,
683,TRUE,TRUE,FALSE
686,TRUE,TRUE,
687,TRUE,TRUE,
692,TRUE,TRUE,
693,TRUE,TRUE,
699,TRUE,FALSE,FALSE
700,TRUE,,
722,TRUE,TRUE,
725,TRUE,TRUE,FALSE
726,TRUE,TRUE,
727,TRUE,TRUE,
780,TRUE,TRUE,
790,TRUE,,
885,TRUE,TRUE,FALSE
917,,TRUE,
942,,TRUE,
1067,TRUE,FALSE,FALSE
1108,TRUE,TRUE,
1140,TRUE,TRUE,
1363,TRUE,TRUE,FALSE
1364,TRUE,TRUE,FALSE
1385,TRUE,TRUE,FALSE
1531,FALSE,TRUE,FALSE
1542,,TRUE,
1623,TRUE,TRUE,
1807,,TRUE,
1816,,TRUE,
1840,,TRUE,
1890,TRUE,FALSE,FALSE
1954,TRUE,TRUE,
2024,TRUE,TRUE,
2050,TRUE,TRUE,FALSE
2120,TRUE,TRUE,
2172,TRUE,TRUE,
2330,TRUE,TRUE,FALSE
2360,TRUE,TRUE,FALSE
2388,,TRUE,
2393,TRUE,TRUE,FALSE
2412,TRUE,TRUE,FALSE
2447,TRUE,TRUE,FALSE
2471,TRUE,TRUE,FALSE
2508,TRUE,FALSE,FALSE
2513,TRUE,,
2514,TRUE,TRUE,FALSE
2564,TRUE,TRUE,FALSE
2572,,TRUE,
2577,,TRUE,
2672,TRUE,TRUE,
2726,TRUE,FALSE,FALSE
2779,TRUE,TRUE,FALSE
2831,TRUE,FALSE,FALSE
2832,TRUE,FALSE,FALSE
2833,TRUE,FALSE,FALSE
2854,TRUE,FALSE,FALSE
2855,TRUE,FALSE,FALSE
2856,TRUE,FALSE,FALSE
2900,TRUE,FALSE,FALSE
2949,TRUE,TRUE,FALSE
2951,TRUE,TRUE,FALSE
2984,TRUE,TRUE,FALSE
3101,TRUE,TRUE,FALSE
3143,TRUE,,
3229,TRUE,TRUE,
3240,TRUE,TRUE,FALSE
