"LID","VInflAktionsart.Pre.Presence","VInflApplicative.Pre.Presence","VInflAspect.Pre.Presence","VInflCausative.Pre.Presence","VInflClassifier.Pre.Presence","VInflConnective.Pre.Presence","VInflConstruct.Pre.Presence","VInflControl.Pre.Presence","VInflDeixis.Pre.Presence","VInflVoice.Pre.Presence","VInflFocus.Pre.Presence","VInflPosterior.Pre.Presence","VInflGender.Pre.Presence","VInflIllocution.Pre.Presence","VInflMA.Pre.Presence","VInflMN.Pre.Presence","VInflModality.Pre.Presence","VInflMood.Pre.Presence","VInflMotion.Pre.Presence","VInflMSE.Pre.Presence","VInflNominalizer.Pre.Presence","VInflNumber.Pre.Presence","VInflPerson.Pre.Presence","VInflPolarity.Pre.Presence","VInflPotentialis.Pre.Presence","VInflQuantificational.Pre.Presence","VInflReflexive_and_Reciprocal.Pre.Presence","VInflRECIP.Pre.Presence","VInflReferential.Pre.Presence","VInflReflexive.Pre.Presence","VInflRepetition.Pre.Presence","VInflReversative.Pre.Presence","VInflSemistem.Pre.Presence","VInflSpatial.Pre.Presence","VInflStatus.Pre.Presence","VInflSwitch_reference.Pre.Presence","VInflTense_and_Evidential.Pre.Presence","VInflTA.Pre.Presence","VInflTAM.Pre.Presence","VInflTense.Pre.Presence","VInflTM.Pre.Presence","VInflValence.Pre.Presence","VInflVersion.Pre.Presence"
179,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,,,,
180,,FALSE,FALSE,FALSE,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,FALSE,TRUE,,,
188,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,,,,
191,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,FALSE,,,,,,,,,FALSE,,,,
192,,FALSE,,FALSE,,,,,,TRUE,,,,,,,FALSE,FALSE,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,
193,,,FALSE,,,,,,,,,,,,,,FALSE,,FALSE,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,,FALSE,,,,,
196,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,FALSE,,,,,,,,,,,FALSE,TRUE,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
199,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,FALSE,,,
201,FALSE,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
202,,,TRUE,,,FALSE,,,,,,,,,,,,,,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,TRUE,,
205,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,
206,,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,FALSE,,,,
208,,,FALSE,TRUE,,,,,,,,,,,,,,FALSE,,,,FALSE,,,,TRUE,,TRUE,,TRUE,,,,,,,,,,FALSE,,,
208,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
212,FALSE,,,,,,,,FALSE,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,
221,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
223,TRUE,,FALSE,,,,,,FALSE,,,,,TRUE,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,TRUE,,,,FALSE,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,FALSE,,,
325,,,TRUE,,,,,,,,,,,,,,,FALSE,,,,,,TRUE,,,,,,,,,,,,,,,,FALSE,,FALSE,
326,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,FALSE,,,,,FALSE,,,
340,,,TRUE,,,,,,,FALSE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,FALSE,,
352,,FALSE,,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,FALSE,,,,,,,,,FALSE,,,,FALSE,,,
356,FALSE,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,FALSE,,,
357,TRUE,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,,,,,TRUE,,,
365,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,
367,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,FALSE,,,
368,,,TRUE,,,,FALSE,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,
370,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
382,,,FALSE,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,TRUE,,,,,,,,FALSE,,,,FALSE,,,,
383,,,FALSE,FALSE,,,,,FALSE,,,,,,,,,FALSE,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,
385,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,FALSE,,,,FALSE,,,,
386,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,FALSE,,
388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
389,,,,FALSE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,FALSE,,,,
390,,,FALSE,,,,,,FALSE,,,TRUE,,,,,,TRUE,,,,FALSE,,,,,FALSE,,TRUE,,,,,,TRUE,,,,,,FALSE,,
392,,,FALSE,FALSE,,,,,,TRUE,,,,,,,,,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,
392,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,
395,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
399,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,FALSE,,,,
400,FALSE,TRUE,FALSE,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,FALSE,TRUE,,,,,,,,,,,,,,,
401,,,,,,,,,,FALSE,,,,,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,FALSE,,,
402,,,FALSE,,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
406,,,FALSE,FALSE,,,,,FALSE,,,,,FALSE,,,,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,FALSE,,,,
408,,,FALSE,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,,
409,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
411,,TRUE,FALSE,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,,FALSE,TRUE,,,,,,,,,,,,,TRUE,,,
411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
413,,,FALSE,,,,,,TRUE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
418,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,
419,,,FALSE,,,,,,FALSE,,TRUE,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,,
419,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,
420,,,FALSE,,,,,,TRUE,TRUE,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,
421,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,,,,
423,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,TRUE,,,TRUE,,FALSE,,,,,,TRUE,,,,FALSE,,,,
426,,TRUE,FALSE,,,,,,,FALSE,,,,,,,,,FALSE,FALSE,,,,,,FALSE,TRUE,,,,,,,,,,,,,,,,
426,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,,,TRUE,,,,,,,,,,,,,,,,,,,FALSE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,
429,FALSE,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,TRUE,,TRUE,,,,,,,,,,,FALSE,,
433,,,,,,,,,,,FALSE,,,FALSE,,,,FALSE,,,,FALSE,,FALSE,,,,,,,,,,,,,,FALSE,,,,FALSE,
434,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,FALSE,,,,
435,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
456,,,,FALSE,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,FALSE,,,,
458,FALSE,,,,,,,,TRUE,,,,,TRUE,,,,TRUE,,,,FALSE,,TRUE,,,,,,,,,,,,,,,FALSE,,,TRUE,
460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
461,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,TRUE,,FALSE,,,,,,,,,,,,TRUE,,,,,
461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,
463,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
464,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
468,,,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,FALSE,,FALSE,
469,FALSE,,FALSE,,,,,,,,,,,,,,,FALSE,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
481,,,FALSE,,,,,,TRUE,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,,,,TRUE
491,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
495,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,
498,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,FALSE,,TRUE,,,TRUE,,,,TRUE,,,,,,,,,TRUE,,,
498,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
501,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,
511,,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,
514,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,
515,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,,,,TRUE,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
526,,,FALSE,,,,,,FALSE,,,,,,,,,FALSE,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
527,,,FALSE,FALSE,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,
528,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,FALSE,,
530,,,,,,,,,,,,,,FALSE,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,,,
533,FALSE,,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
540,,,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,
545,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,FALSE,,,,,,TRUE,,,,,,,,
549,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,FALSE,,,,,,,,,,,,,,FALSE,,
551,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,
552,,,,,,,,,,,,,,,,,,FALSE,,,,,,TRUE,,,,,,,,,,,,,,FALSE,,,,,
558,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,FALSE,,,,
567,,,,,,,,,,,,,,,,,FALSE,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
568,FALSE,,FALSE,,,,,,,,,,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,
569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
571,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,
580,TRUE,FALSE,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,
581,,,,FALSE,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,TRUE,,,
582,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,
583,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,
608,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
612,,,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,FALSE,,
619,FALSE,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,
620,,,,,,,,,,,FALSE,,,,,,,,,TRUE,,,,,,,FALSE,,,,,,,,,,,FALSE,,,,,
626,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
628,,,,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,FALSE,
629,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,FALSE,,,,
632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
633,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
635,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,
641,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,FALSE,,
642,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,
642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,
643,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,FALSE,,,,,
646,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,
648,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,
654,TRUE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
655,,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,TRUE,,,,,FALSE,,,,
656,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,FALSE,,,,,,,
658,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,FALSE,,,,
662,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
663,,,,,,,,,FALSE,TRUE,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,FALSE,,,,,
663,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
664,,,,,,,,,,,,,,TRUE,FALSE,,,FALSE,,,,,,TRUE,,,,,,,,,,,,,,,,,FALSE,,
667,,,FALSE,,,,,,,,,,,,,,,FALSE,,,FALSE,,,TRUE,,,,,,,,,,,,,,,,FALSE,,,
668,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,
669,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,FALSE,,,,
674,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,TRUE,,,,,,,,,,,,,,,,FALSE,,,
675,,,,TRUE,,,,,TRUE,,,,,FALSE,,,TRUE,,,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,FALSE,,,TRUE
